RegionName,City,State,Current_Price,Affordability_Ratio_2023,Clasificacion_IA,Confianza,Datos_Clave
79366,Ransom Canyon,TX,372339.3384299515,3.254468943830568,Regular - Estable,99.91,Growth24: 1.3% | Vacancy: 6.4%
77494,Katy,TX,496241.9553459833,3.2100188184564384,Barata - Alto Potencial,98.0,Growth24: 3.2% | Vacancy: 1.4%
77449,Katy,TX,278857.58108786144,3.284482481452605,Regular - Estable,100.0,Growth24: -1.2% | Vacancy: 1.2%
77084,Houston,TX,274553.21540893894,3.617884480349943,Regular - Estable,100.0,Growth24: -0.7% | Vacancy: 2.6%
79936,El Paso,TX,214156.66982796465,2.9895315118639774,Barata - Alto Potencial,100.0,Growth24: 6.5% | Vacancy: 1.1%
78660,Pflugerville,TX,396772.0971039334,4.034269873075013,Regular - Estable,99.47,Growth24: -7.1% | Vacancy: 1.5%
78873,Leakey,TX,329653.19632437103,7.489673848740122,Cara - Sobrevalorada,99.5,Growth24: -0.1% | Vacancy: 35.1%
78932,Burton,TX,672734.8954162226,7.102290095282983,Cara - Sobrevalorada,99.0,Growth24: -3.9% | Vacancy: 36.5%
76239,Forestburg,TX,490222.1828573922,6.600900247567807,Regular - Estable,93.92,Growth24: 7.4% | Vacancy: 9.7%
78609,Buchanan Dam,TX,383413.5471891237,7.21972225513206,Cara - Sobrevalorada,100.0,Growth24: -8.8% | Vacancy: 19.1%
75932,Burkeville,TX,202177.6320425872,3.436582602841668,Cara - Sobrevalorada,97.0,Growth24: 1.8% | Vacancy: 39.7%
79508,Buffalo Gap,TX,233418.12505069817,2.811469380423949,Barata - Alto Potencial,92.94,Growth24: 2.9% | Vacancy: 5.0%
78663,Round Mountain,TX,879985.135081075,5.300043442781595,Barata - Alto Potencial,83.93,Growth24: 5.3% | Vacancy: 5.4%
77951,Victoria,TX,112736.50254860708,3.19009970956682,Regular - Estable,97.5,Growth24: 0.0% | Vacancy: 9.7%
77482,Van Vleck,TX,211199.9139125892,3.2081955327847047,Regular - Estable,99.34,Growth24: -4.0% | Vacancy: 9.8%
77046,Houston,TX,329737.5090719504,3.230493711960419,Regular - Estable,97.46,Growth24: -5.4% | Vacancy: 9.5%
79563,Tye,TX,123359.41356541857,2.106064934751481,Regular - Estable,98.45,Growth24: -4.8% | Vacancy: 11.1%
79526,Hermleigh,TX,188984.2258261903,2.6493364641396204,Regular - Estable,99.91,Growth24: -2.9% | Vacancy: 8.7%
76890,Zephyr,TX,375119.0203117391,6.044324747624886,Regular - Estable,97.97,Growth24: 0.4% | Vacancy: 9.1%
79343,Lorenzo,TX,102875.8882912704,1.4586233999903888,Regular - Estable,98.0,Growth24: -1.8% | Vacancy: 7.6%
77983,Seadrift,TX,188345.2181060541,1.9393232544890333,Regular - Estable,99.84,Growth24: -2.8% | Vacancy: 11.0%
76673,Mount Calm,TX,271888.2818471387,4.063478422842064,Barata - Alto Potencial,90.52,Growth24: 3.0% | Vacancy: 9.3%
77845,College Station,TX,362338.2934698509,3.808408052130273,Barata - Alto Potencial,99.48,Growth24: 3.7% | Vacancy: 3.5%
77095,Houston,TX,333871.43475403124,3.463859577590189,Regular - Estable,99.96,Growth24: 0.1% | Vacancy: 1.4%
77407,Richmond,TX,391928.512053102,3.8047163984314953,Regular - Estable,99.95,Growth24: 0.3% | Vacancy: 0.7%
76179,Fort Worth,TX,329678.50685911626,3.232021400778176,Regular - Estable,100.0,Growth24: -4.3% | Vacancy: 1.3%
75228,Dallas,TX,291712.9295913518,4.901608429340548,Regular - Estable,99.5,Growth24: 0.2% | Vacancy: 4.4%
76028,Burleson,TX,343490.5470645621,3.473129306791088,Regular - Estable,99.96,Growth24: -1.3% | Vacancy: 1.4%
75211,Cockrell Hill,TX,235619.97908864403,4.214401857783394,Regular - Estable,99.91,Growth24: -1.0% | Vacancy: 2.2%
78572,Mission,TX,193423.9156278816,3.3423258382800665,Barata - Alto Potencial,94.48,Growth24: 5.1% | Vacancy: 7.8%
79912,El Paso,TX,308236.6843817952,3.9164959292812096,Barata - Alto Potencial,99.98,Growth24: 5.4% | Vacancy: 4.3%
75002,Allen,TX,481927.82735775696,3.6660127118368577,Regular - Estable,93.46,Growth24: 1.9% | Vacancy: 1.1%
76063,Mansfield,TX,442033.7560521758,3.9339931680363143,Regular - Estable,99.96,Growth24: -0.5% | Vacancy: 1.7%
77083,Houston,TX,267731.17825595656,4.017429028538071,Regular - Estable,99.98,Growth24: 1.3% | Vacancy: 1.7%
76244,Fort Worth,TX,391564.4809846362,3.3791405109753727,Regular - Estable,99.96,Growth24: -2.3% | Vacancy: 2.0%
75035,Frisco,TX,678704.8182639447,4.012144072984343,Barata - Alto Potencial,99.0,Growth24: 3.3% | Vacancy: 1.3%
77459,Missouri City,TX,403086.2398345856,2.976082016928645,Regular - Estable,100.0,Growth24: 1.0% | Vacancy: 1.3%
78641,Leander,TX,454868.4996253771,3.8983665167856674,Regular - Estable,99.83,Growth24: -8.8% | Vacancy: 0.9%
77373,Spring,TX,248389.6725286808,2.915726613342309,Regular - Estable,100.0,Growth24: -1.1% | Vacancy: 1.5%
78249,San Antonio,TX,305910.1110018603,3.8647121580891977,Regular - Estable,100.0,Growth24: -0.7% | Vacancy: 2.3%
77072,Houston,TX,206698.21513152515,4.065990593329156,Regular - Estable,99.44,Growth24: 1.8% | Vacancy: 2.9%
75040,Garland,TX,291279.5429912749,3.9148046287170817,Regular - Estable,98.91,Growth24: 1.1% | Vacancy: 1.7%
77521,Baytown,TX,254198.4495360056,3.3924972275975245,Regular - Estable,100.0,Growth24: -1.9% | Vacancy: 2.0%
75043,Garland,TX,301536.9508256151,3.987134510152332,Regular - Estable,100.0,Growth24: 1.1% | Vacancy: 2.3%
77346,Atascocita,TX,316690.3844681459,2.790524893821542,Regular - Estable,99.5,Growth24: -2.2% | Vacancy: 1.2%
75098,Wylie,TX,448078.99907730654,3.9050524520749352,Regular - Estable,100.0,Growth24: 0.4% | Vacancy: 1.8%
75243,Dallas,TX,307341.0627968491,6.103287827582116,Regular - Estable,96.0,Growth24: 1.4% | Vacancy: 6.6%
75068,Little Elm,TX,432328.3413434015,3.545163701782672,Regular - Estable,100.0,Growth24: -2.4% | Vacancy: 1.1%
78045,Laredo,TX,280999.2067741426,3.057927681459233,Regular - Estable,99.48,Growth24: 0.4% | Vacancy: 1.4%
77036,Houston,TX,172834.603585544,4.018514895898148,Regular - Estable,94.0,Growth24: 0.6% | Vacancy: 5.8%
75067,Lewisville,TX,376598.6463051165,4.851311735007138,Regular - Estable,99.0,Growth24: 0.8% | Vacancy: 2.4%
78046,Laredo,TX,185239.9581180945,3.3673926205163203,Regular - Estable,98.49,Growth24: 1.4% | Vacancy: 1.7%
78254,San Antonio,TX,313224.8803926418,2.8412907569641788,Regular - Estable,100.0,Growth24: -3.1% | Vacancy: 1.1%
77450,Katy,TX,386244.9748104051,3.507235750993568,Regular - Estable,97.98,Growth24: 1.8% | Vacancy: 1.3%
78504,McAllen,TX,260149.59141728995,3.177951926865966,Barata - Alto Potencial,97.98,Growth24: 3.9% | Vacancy: 3.0%
77406,Richmond,TX,431050.7822313918,2.97493964373524,Regular - Estable,99.96,Growth24: 0.5% | Vacancy: 1.5%
78501,McAllen,TX,195371.8057122454,3.714925617464706,Barata - Alto Potencial,88.48,Growth24: 6.8% | Vacancy: 5.5%
75071,McKinney,TX,515869.7440244152,3.880078968438884,Regular - Estable,99.96,Growth24: 0.3% | Vacancy: 1.5%
78520,Brownsville,TX,183246.36323189805,3.560910416094241,Barata - Alto Potencial,98.5,Growth24: 7.2% | Vacancy: 4.0%
75227,Dallas,TX,237962.9610770312,3.983335892050291,Regular - Estable,99.91,Growth24: 0.3% | Vacancy: 2.3%
78253,San Antonio,TX,330517.0817137679,3.373895486942213,Regular - Estable,99.5,Growth24: -4.5% | Vacancy: 2.7%
77077,Houston,TX,395625.5560276111,5.375222422599405,Barata - Alto Potencial,93.98,Growth24: 2.1% | Vacancy: 5.8%
78745,Austin,TX,440989.1144226836,5.912537847247917,Regular - Estable,99.96,Growth24: -7.1% | Vacancy: 2.3%
77375,Tomball,TX,356203.9940942391,3.740732815669294,Regular - Estable,99.96,Growth24: -1.3% | Vacancy: 1.5%
78640,Kyle,TX,319736.80282523256,4.145714072828475,Regular - Estable,99.96,Growth24: -7.2% | Vacancy: 1.2%
77396,Humble,TX,263032.3250650475,3.4950536455444534,Regular - Estable,100.0,Growth24: -1.7% | Vacancy: 1.7%
75056,The Colony,TX,512758.8924631371,4.201754933949163,Barata - Alto Potencial,100.0,Growth24: 2.7% | Vacancy: 2.0%
78574,La Homa,TX,189168.71664828164,3.1648322885028226,Barata - Alto Potencial,100.0,Growth24: 10.2% | Vacancy: 2.2%
75150,Mesquite,TX,266003.1442281842,4.044332113799128,Regular - Estable,100.0,Growth24: 1.3% | Vacancy: 3.5%
77386,Spring,TX,368818.0924864001,2.8297409540830247,Regular - Estable,100.0,Growth24: -0.7% | Vacancy: 1.5%
77082,Houston,TX,260670.0676826303,4.332303738077385,Regular - Estable,99.5,Growth24: -0.0% | Vacancy: 3.3%
75149,Mesquite,TX,247560.15121397687,3.5463849835081027,Regular - Estable,99.41,Growth24: 0.6% | Vacancy: 1.7%
78240,San Antonio,TX,266074.52262537,4.394182403582333,Regular - Estable,99.5,Growth24: -1.4% | Vacancy: 5.2%
76010,Arlington,TX,235574.55898099905,5.350891676288441,Regular - Estable,99.44,Growth24: 0.4% | Vacancy: 3.2%
78228,San Antonio,TX,175380.47319094534,3.748875008157178,Regular - Estable,100.0,Growth24: -5.8% | Vacancy: 3.8%
78250,San Antonio,TX,246263.1381825392,3.1922723594378226,Regular - Estable,100.0,Growth24: -2.3% | Vacancy: 1.5%
78753,Austin,TX,368231.4877593483,6.698307520864663,Regular - Estable,98.96,Growth24: -7.7% | Vacancy: 2.3%
78526,Brownsville,TX,225109.79207640307,3.038908497779376,Barata - Alto Potencial,99.5,Growth24: 4.9% | Vacancy: 1.9%
75115,Desoto,TX,332545.0052926292,4.056453066877498,Regular - Estable,100.0,Growth24: -1.2% | Vacancy: 1.9%
77070,Houston,TX,299702.3838617056,4.118502694606442,Regular - Estable,99.98,Growth24: -0.3% | Vacancy: 2.8%
